,game_name,platform,genres,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,genres_labeled,platform_labeled
3945,Eets: Chowdown,Xbox,"2D, 2D, Action, Platformer, Platformer",Klei Entertainment,Klei Entertainment,4,1,2007,4,1,0.75,0.5851063829787235,0.5714285714285714,0.6566745598693725,1,907,1746,48,53
3946,Aven Colony,"PC, PlayStation, Xbox","Government, Management, Strategy",Sold Out,Team17,0,0,2017,7,2,0.6893939393939394,0.7836879432624114,0.45138888888888884,0.7346491228070176,0,1652,3053,1637,43
3947,Nintendo Labo: Toycon 01 Variety Kit,Nintendo,"Miscellaneous, Party / Minigame",Nintendo,Nintendo,0,0,2018,4,1,0.75,0.7021276595744682,0.8260869565217391,0.6267942583732058,1,1140,2247,1702,0
3948,RISK: Factions,Xbox,"Board / Card Game, General, Miscellaneous, Strategy, Turn-Based, Turn-Based, Wargame",Stainless Games,Electronic Arts,0,0,2010,6,2,0.75,0.7446808510638299,0.7878787878787878,0.5384615384615384,1,515,3117,1249,53
3949,ArmA II,PC,"Action, Arcade, First-Person, Modern, Modern, Shooter, Shooter, Tactical",Bohemia Interactive,Bohemia Interactive,0,0,2009,7,4,0.75,0.7659574468085107,0.6052631578947368,0.6682316118935837,1,236,464,697,39
3950,Rebel Galaxy Outlaw,PC,"Action Adventure, Open-World",Double Damage Games,Double Damage Games,0,0,2019,8,3,0.75,0.5531914893617023,0.6086956521739131,0.4344262295081967,1,474,934,466,39
3951,Dead or Alive 5 Ultimate,"PlayStation, Xbox","3D, 3D, Action, Fighting, Fighting",Team Ninja,Tecmo Koei America Corp.,16,1,2013,9,4,0.7386363636363636,0.7872340425531916,0.6599999999999999,0.6708299758259468,0,1656,3292,139,50
3952,Street Fighter V,"PC, PlayStation","2D, Action, Fighting",Capcom,Capcom,2,0,2016,2,3,0.7329545454545454,0.33510638297872347,0.6191287878787879,0.23559930360251774,0,287,562,102,40
3953,Touhou Spell Bubble,Nintendo,"Matching, Puzzle",Taito Corporation,Taito Corporation,2,0,2020,10,1,0.75,0.6702127659574468,0.7777777777777778,0.6,1,1635,3266,1692,0
3954,Minecraft: Wii U Edition,Wii,"Action Adventure, Sandbox",4J Studios,Mojang AB,8,1,2015,12,2,0.75,0.7659574468085107,0.8,0.6454545454545455,1,1061,60,473,51
3955,Your Shape Fitness Evolved 2012,Xbox,"Exercise / Fitness, General, Miscellaneous, Sports",Ubisoft,Ubisoft,0,0,2011,11,1,0.75,0.7659574468085107,0.7692307692307693,0.7,1,1764,3511,1445,53
3956,Angry Birds,PlayStation,"Action, General, General, General, Miscellaneous, Puzzle, Strategy",Rovio Mobile,Chillingo Ltd,1,0,2011,1,1,0.75,0.36170212765957455,0.7142857142857143,0.1896551724137931,1,318,2805,859,47
3957,Al Emmo and the Lost Dutchman's Mine,PC,"Adventure, Modern, Modern, Point-and-Click, Third-Person",Himalaya Studios,Himalaya Studios,0,0,2006,9,3,0.75,0.723404255319149,0.5714285714285714,0.5909090909090909,1,783,1477,1058,39
3958,Tony Hawk's American Wasteland,"Old Platform, PC, PlayStation, Xbox","Alternative, Skateboarding, Sports",Neversoft Entertainment,Activision,2,0,2005,10,3,0.725,0.7829787234042555,0.5867041614716033,0.6070309951742537,0,62,2213,1096,31
3959,Final Fantasy IV: The Complete Collection,PlayStation,"Compilation, Compilation, Console-style RPG, General, Miscellaneous, Role-Playing",Bullets,Square Enix,0,0,2011,4,2,0.75,0.8936170212765958,0.7804878048780488,0.8657407407407407,1,1565,519,1380,47
3960,Expeditions: Conquistador,PC,"General, General, Role-Playing",Logic Artists,Logic Artists,0,0,2013,5,3,0.75,0.8191489361702129,0.6666666666666666,0.7045454545454546,1,956,1864,1537,39
3961,Life is Strange: Episode 1 - Chrysalis,"PC, PlayStation, Xbox","Action Adventure, General",DONTNOD Entertainment,Square Enix,0,0,2015,1,4,0.7424242424242425,0.8510638297872343,0.6762335425126121,0.8080166288793685,0,1565,801,402,43
3962,Field Commander,PlayStation,"General, Sci-Fi, Sci-Fi, Strategy, Turn-Based",Sony Online Entertainment,Sony Online Entertainment,2,1,2006,5,3,0.75,0.8085106382978725,0.6792452830188679,0.65625,1,1536,3069,1621,47
3963,Dying Light 2 Stay Human,"PC, PlayStation, Xbox","Action Adventure, Survival",Techland,Square Enix,4,1,2022,2,4,0.7462121212121212,0.47517730496453914,0.6664320198980459,0.4416014298079874,0,1565,3302,477,43
3964,Shu,"Nintendo, PlayStation","2D, Action, Platformer",Coatsink Software,Coatsink Software,0,0,2016,10,1,0.7215909090909092,0.7021276595744681,0.5576923076923077,0.5240641711229946,0,339,660,124,19
3965,Gary Grigsby's World at War,PC,"General, Historic, Historic, Strategy, Turn-Based",2By3 Games,Matrix Games,5,1,2005,3,3,0.75,0.5957446808510639,0.6666666666666666,0.46153846153846156,1,999,29,1561,39
3966,RUSH,Wii,"General, Miscellaneous, Puzzle",Two Tribes,Two Tribes,0,0,2013,12,1,0.75,0.7659574468085107,0.7142857142857143,0.52,1,1756,3499,1583,51
3967,Zeno Clash,PC,"3D, Action, Adventure, Beat-'Em-Up, Fantasy, First-Person, Sci-Fi, Shooter",ACE Team,Tripwire Interactive,0,0,2009,4,3,0.75,0.7872340425531916,0.6341463414634146,0.6238244514106583,1,1745,83,193,39
3968,Hamtaro: Ham-Ham Games,Nintendo,"General, Sports",Alphadream Corporation,Nintendo,1,0,2004,7,1,0.75,0.8510638297872343,0.65,0.7777777777777778,1,1140,150,1627,0
3969,I-Ninja,"Old Platform, PlayStation, Xbox","3D, Action, Platformer",Argonaut Games,Namco,1,0,2003,11,3,0.7272727272727272,0.8226950354609931,0.6495726495726496,0.6793650793650793,0,1109,215,243,36
3970,Harry Potter and the Chamber of Secrets,"Nintendo, Old Platform, PC, PlayStation, Xbox","Action Adventure, Fantasy",Eurocom Entertainment Software,EA Games,1,0,2002,11,1,0.7340909090909091,0.8042553191489363,0.6328171828171829,0.7072310644678196,0,497,1061,383,5
